Date,USD,EUR,GBP,INR,AUD,CAD,SGD,CHF,MYR,JPY,CNY,NZD,THB,HUF,AED,HKD,MXN,ZAR,PHP,SEK,IDR,SAR,BRL,TRY,KES,KRW,EGP,IQD,NOK,KWD,RUB,DKK,PKR,ILS,PLN,QAR,XAU,OMR,COP,CLP,TWD,ARS,CZK,VND,MAD,JOD,BHD,XOF,LKR,UAH,NGN,TND,UGX,RON,BDT,PEN,GEL,XAF,FJD,VEF,BYR,HRK,UZS,BGN,DZD,IRR,DOP,ISK,XAG,CRC,SYP,LYD,JMD,MUR,GHS,AOA,UYU,AFN,LBP,XPF,TTD,LTL,TZS,ALL,XCD,GTQ,NPR,BOB,ZWD,BBD,CUC,LAK,BND,BWP,HNL,PYG,ETB,NAD,PGK,SDG,MOP,NIO,BMD,KZT,PAB,BAM,GYD,YER,MGA,KYD,MZN,RSD,SCR,AMD,SBD,AZN,SLL,TOP,BZD,MWK,GMD,BIF,SOS,HTG,GNF,MVR,MNT,CDF,STD,TJS,KPW,MMK,LSL,LRD,KGS,GIP,XPT,MDL,CUP,KHR,MKD,VUV,MRO,ANG,SZL,CVE,SRD,XPD,SVC,BSD,XDR,RWF,AWG,DJF,BTN,KMF,WST,SPL,ERN,FKP,SHP,JEP,TMT,TVD,IMP,GGP
2013-01-01,1.0000000000,1.3203389420,1.6259456700,0.0182468959,1.0397276441,1.0066894621,0.8189159313,1.0920415510,0.3269976045,0.0115299504,0.1603111985,0.8277997567,0.0326797513,0.0045210752,0.2722570168,0.1290206068,0.0778062652,0.1182135565,0.0243678157,0.1536605792,0.0001038422,0.2666233024,0.4867343037,0.5605739516,0.0116176963,0.0009390175,0.1570824268,0.0008585076,0.1796588500,3.5568230200,0.0327390462,0.1769895872,0.0102805995,0.2680611789,0.3232167547,0.2744916355,1675.8300000042,2.5977400100,0.0005655555,0.0020874940,0.0344163368,0.2032105880,0.0525693258,0.0000480017,0.1199877856,1.4082530120,2.6521024960,0.0020128437,0.0078308840,0.1243009953,0.0064040199,0.6446620453,0.0003710481,0.2973729504,0.0125506936,0.3916975484,0.6031605483,0.0020128437,0.5640204633,0.2325581395,0.0001165379,0.1750145523,0.0005040050,0.6741467382,0.0127307503,0.0000814001,0.0250503357,0.0078137227,30.3494178347,0.0019512200,0.0140845238,0.7923930491,0.0108249362,0.0325415800,0.5241675120,0.0104362904,0.0521380000,0.0197514429,0.0006649038,0.0110644403,0.1557749500,0.3823965889,0.0006323867,0.0094541556,0.3703700621,0.1265260092,0.0114019160,0.1447254800,0.0027631943,0.5000000000,1.0000000000,0.0001250632,0.8189159313,0.1281999946,0.0502510437,0.0002370000,0.0547203200,0.1182135565,0.4840043453,0.2266909682,0.1252627250,0.0414851804,1.0000000000,0.0066470338,1.0000000000,0.6750785815,0.0049043227,0.0046545403,0.0004440599,1.2195120077,0.0338410099,0.0117660034,0.0762189597,0.0024779714,0.1410278336,1.2738855621,0.0002296800,0.5770000000,0.5001711824,0.0031152648,0.0293138702,0.0006539200,0.0006239933,0.0237249647,0.0001425799,0.0650619620,0.0007259933,0.0010926999,0.0000546179,0.2098904583,0.0076991305,0.0011660302,0.1182135565,0.0137775815,0.0210965263,1.6259456700,1540.0399999955,0.0825640011,0.0377358491,0.0002500000,0.0211875220,0.0109774560,0.0033291305,0.5586590367,0.1182135565,0.0120081198,0.3053784815,704.5049999993,0.1142857143,1.0000000000,1.5383434551,0.0015837183,0.5586592179,0.0055860016,0.0182468959,0.0026837917,0.4415000000,6.0000000000,0.0662251698,1.6259456700,1.6259456700,1.6259456700,0.3508771930,1.0397276441,1.6259456700,1.6259456700
2013-01-19,1.0000000000,1.3318239329,1.5863500000,0.0185835000,1.0505500000,1.0084203096,0.8145312373,1.0698619878,0.3318951600,0.0110969317,0.1608105900,0.8367500000,0.0335796100,0.0045420480,0.2722640000,0.1289848249,0.0789381244,0.1125422737,0.0246366500,0.1534895857,0.0001039501,0.2666275613,0.4900279316,0.5683755826,0.0115273775,0.0009450009,0.1514005000,0.0008587400,0.1784869660,3.5501306100,0.0330400000,0.1784821875,0.0102356900,0.2680174747,0.3206669873,0.2746725000,1683.6999511609,2.5997660700,0.0005650000,0.0021190000,0.0345303867,0.2019800000,0.0519922116,0.0000480000,0.1194743147,1.4118315000,2.6521024800,0.0020303525,0.0079020200,0.1233050000,0.0063653800,0.6413955000,0.0003740000,0.3066308931,0.0125630000,0.3916975000,0.6037074700,0.0020303525,0.5705203900,0.2325581395,0.0001155000,0.1761354129,0.0005030000,0.6789405000,0.0127725400,0.0000814000,0.0247525000,0.0077549500,31.8120002747,0.0020330989,0.0140845000,0.7977662642,0.0107470000,0.0325205000,0.5228794000,0.0104265100,0.0518138200,0.0194930000,0.0006640000,0.0111606846,0.1560180600,0.3857228721,0.0006240000,0.0095465000,0.3703700000,0.1272183800,0.0115880000,0.1447253800,0.0027631943,0.5000000000,1.0000000000,0.0001256700,0.8145312373,0.1247999966,0.0502008000,0.0002398500,0.0545821900,0.1125422737,0.4804950000,0.2266908400,0.1252279854,0.0417100000,1.0000000000,0.0066345000,1.0000000000,0.6809507641,0.0049092100,0.0046571200,0.0004480000,1.2195122000,0.0338925000,0.0119070000,0.0768014000,0.0024597900,0.1390824747,1.2742105000,0.0002305000,0.5765000000,0.5012814800,0.0028580000,0.0303308800,0.0006635000,0.0006230000,0.0237247900,0.0001430000,0.0651040000,0.0007205000,0.0010950000,0.0000542888,0.2099915000,0.0075929276,0.0011648200,0.1125422737,0.0134230000,0.0210840000,1.5863500000,1669.4299999951,0.0826120000,0.0377358491,0.0002505000,0.0212371100,0.0111115000,0.0033485000,0.5586590000,0.1125422737,0.0120050000,0.3042169900,720.9950000018,0.1142857143,1.0000000000,1.5338600000,0.0015840000,0.5586592179,0.0055935100,0.0185835000,0.0027071367,0.4425000000,6.0000000000,0.0662251700,1.5863500000,1.5863500000,1.5863500000,0.3508771930,1.0505500000,1.5863500000,1.5863500000
2013-02-06,1.0000000000,1.3526766475,1.5652236426,0.0188375065,1.0322024013,1.0041032465,0.8079291639,1.0988152579,0.3227370064,0.0106890225,0.1603958866,0.8427715866,0.0335824177,0.0046012565,0.2722532947,0.1289597629,0.0789190962,0.1123305379,0.0245281920,0.1572988145,0.0001029866,0.2666434919,0.5031281686,0.5656765512,0.0114159053,0.0009172221,0.1493763247,0.0008591091,0.1819431417,3.5523025747,0.0332337509,0.1813410666,0.0102210382,0.2708235223,0.3236596246,0.2746724352,1675.7569492980,2.5967284330,0.0005585003,0.0021130496,0.0337607424,0.2005857584,0.0533217602,0.0000480077,0.1208340500,1.4119322124,2.6518188684,0.0020621423,0.0079113900,0.1233806818,0.0063584916,0.6470399834,0.0003759490,0.3083242575,0.0127836469,0.3880483068,0.6043463355,0.0020621423,0.5669944107,0.2325581395,0.0001149885,0.1783134893,0.0004989101,0.6901851697,0.0127862202,0.0000814000,0.0245730233,0.0078752167,31.7967246882,0.0019956192,0.0140845637,0.7952304411,0.0108462413,0.0324225822,0.5247970298,0.0104230799,0.0524944327,0.0196156007,0.0006650014,0.0113354303,0.1561572333,0.3917622357,0.0006190093,0.0096829419,0.3703703700,0.1275274408,0.0117720400,0.1445159032,0.0027631943,0.5000000000,1.0000000000,0.0001262788,0.8079291639,0.1243999973,0.0501705837,0.0002416465,0.0544540151,0.1123305379,0.4759452300,0.2266305765,0.1252036533,0.0411438000,1.0000000000,0.0066445419,1.0000000000,0.6916125877,0.0049122560,0.0046718126,0.0004612640,1.2195121984,0.0339797312,0.0121742268,0.0782174284,0.0024628800,0.1390824747,1.2743728901,0.0002316072,0.5789999996,0.4961403813,0.0027798081,0.0294181893,0.0006410028,0.0006275134,0.0235018052,0.0001432581,0.0649772588,0.0007212400,0.0010875818,0.0000550509,0.2100622096,0.0075929276,0.0011675387,0.1123305379,0.0135140554,0.0208743251,1.5652236426,1732.1756976323,0.0832305956,0.0377358491,0.0002510137,0.0212482555,0.0111557102,0.0033528920,0.5586124807,0.1123305379,0.0123228779,0.3053595365,766.9384528599,0.1142857143,1.0000000000,1.5357444702,0.0015848834,0.5586592179,0.0055671609,0.0188375065,0.0027495230,0.4440000006,6.0000000000,0.0662277173,1.5652236426,1.5652236426,1.5652236426,0.3508771930,1.0322024013,1.5652236426,1.5652236426
2013-02-24,1.0000000000,1.3190871917,1.5165500000,0.0184241872,1.0323000000,0.9789046057,0.8081461128,1.0761945760,0.3225598413,0.0107014822,0.1603823515,0.8380000000,0.0335120642,0.0044892371,0.2722718315,0.1289274525,0.0787008071,0.1127536817,0.0245579560,0.1558275612,0.0001030078,0.2667164537,0.5070865343,0.5558025610,0.0114220441,0.0009214042,0.1485155821,0.0008598452,0.1764290686,3.5398230238,0.0329169347,0.1768033946,0.0101988778,0.2693239968,0.3169773044,0.2746800004,1581.2500000092,2.6007802550,0.0005549390,0.0021132713,0.0337609723,0.1988862419,0.0516408893,0.0000479386,0.1181474515,1.4130280911,2.6525198654,0.0020109355,0.0078493000,0.1228652178,0.0063532404,0.6351222753,0.0003752345,0.3011775952,0.0126710596,0.3874467126,0.6050398700,0.0020109355,0.5610145000,0.1591292399,0.0001166861,0.1746053909,0.0004960000,0.6719151300,0.0129315916,0.0000815661,0.0247647344,0.0078670000,28.7500000000,0.0020068232,0.0141542814,0.7908263999,0.0105820106,0.0331125819,0.5235602186,0.0104210000,0.0526870403,0.0192752502,0.0006666667,0.0110539507,0.1574803173,0.3820340569,0.0006127451,0.0094295000,0.3703700000,0.1281640537,0.0115091900,0.1436781601,0.0027631943,0.5000000000,1.0000000000,0.0001271456,0.8081461128,0.1242000014,0.0502008030,0.0002522068,0.0543275000,0.1127536817,0.4747510000,0.2272727223,0.1251722840,0.0411522647,1.0000000000,0.0066577897,1.0000000000,0.6744385717,0.0049701790,0.0046674446,0.0004528986,1.2195120000,0.0333111254,0.0118290000,0.0806776896,0.0024540500,0.1370999962,1.2743730000,0.0002341920,0.5749999881,0.5094762517,0.0027397260,0.0305810390,0.0006451613,0.0006381700,0.0235294118,0.0001440922,0.0658761515,0.0007267442,0.0011111111,0.0000538068,0.2103361400,0.0075929276,0.0011627907,0.1127536817,0.0136054422,0.0209850000,1.5165500000,1609.0600000108,0.0823384078,0.0377358491,0.0002514458,0.0213995294,0.0112107627,0.0033783784,0.5589714817,0.1127536817,0.0120438398,0.3076923077,738.0099999984,0.1142857143,1.0000000000,1.5158405000,0.0015923567,0.5586592179,0.0057240986,0.0184241872,0.0026812473,0.4352000058,6.0000000000,0.0666666667,1.5165500000,1.5165500000,1.5165500000,0.3508771930,1.0323000000,1.5165500000,1.5165500000
2013-03-14,1.0000000000,1.2978229775,1.5043131980,0.0183920539,1.0385635315,0.9741967285,0.8004604918,1.0522379191,0.3212855383,0.0104015783,0.1608203476,0.8205412543,0.0337438976,0.0042665470,0.2722570200,0.1288874512,0.0802779656,0.1088809073,0.0246093812,0.1550575695,0.0001030609,0.2666471671,0.5081826980,0.5513688286,0.0117164700,0.0009008976,0.1473490417,0.0008658100,0.1722705676,3.5118566363,0.0324904267,0.1740271263,0.0102082553,0.2707122118,0.3123628489,0.2746801294,1588.0999763822,2.5977400100,0.0005563656,0.0021201845,0.0336304361,0.1966956763,0.0507706731,0.0000478200,0.1168429244,1.4128291900,2.6528761747,0.0019785184,0.0079208320,0.1230390220,0.0062707991,0.6339144900,0.0003787967,0.2954293696,0.0127053937,0.3855064516,0.6008763103,0.0019785184,0.5595075400,0.1590407000,0.0001156099,0.1710923944,0.0004924300,0.6614059390,0.0126440818,0.0000814200,0.0245225924,0.0078734032,28.7503069266,0.0020020000,0.0141144400,0.7855459523,0.0103148700,0.0318675168,0.5175482400,0.0104198302,0.0526319471,0.0189214900,0.0006649000,0.0108757566,0.1559267100,0.3758755148,0.0006159600,0.0092679880,0.3703703700,0.1281312564,0.0115012500,0.1447254952,0.0027631943,0.5000000000,1.0000000000,0.0001277310,0.8004604918,0.1211000010,0.0505561200,0.0002494200,0.0541785400,0.1088809073,0.4679986300,0.2267576707,0.1251334477,0.0410593354,1.0000000000,0.0066288907,1.0000000000,0.6635663516,0.0049044000,0.0046673400,0.0004549700,1.2195120016,0.0335233900,0.0116102814,0.0858938916,0.0024138354,0.1371999979,1.2742105020,0.0002314800,0.5710000000,0.4950980400,0.0025781200,0.0294181305,0.0006413400,0.0006269700,0.0235293969,0.0001420800,0.0650191673,0.0007196512,0.0010853800,0.0000527844,0.2103449900,0.0075929276,0.0011461400,0.1088809073,0.0134588705,0.0209316201,1.5043131980,1586.9718977943,0.0810057900,0.0377358491,0.0002505395,0.0211659400,0.0109628410,0.0035057100,0.5586592130,0.1088809073,0.0118095160,0.3053783900,767.5431763825,0.1142857143,1.0000000000,1.5004876698,0.0015752300,0.5586592179,0.0055944501,0.0183920539,0.0026380245,0.4364000000,6.0000000000,0.0662251700,1.5043131980,1.5043131980,1.5043131980,0.3508771930,1.0385635315,1.5043131980,1.5043131980
2013-04-01,1.0000000000,1.2855841811,1.5229377923,0.0184211300,1.0420304828,0.9833448659,0.8061339596,1.0569787961,0.3232323464,0.0106836242,0.1612743788,0.8375637982,0.0341122600,0.0042296005,0.2722570168,0.1288110243,0.0810300629,0.1087574324,0.0244888167,0.1536328954,0.0001028172,0.2666453656,0.4957992142,0.5533114087,0.0116959100,0.0008999965,0.1469443076,0.0008599940,0.1716985685,3.5016568962,0.0321503055,0.1722909016,0.0101574294,0.2745538864,0.3073899231,0.2746650400,1599.2373295516,2.5977400100,0.0005490100,0.0021175290,0.0334583546,0.1952364323,0.0498971195,0.0000477800,0.1156721139,1.4114333100,2.6521728200,0.0019598604,0.0079114000,0.1228652600,0.0063061689,0.6267628400,0.0003854944,0.2907026690,0.0127947914,0.3859528100,0.6041635162,0.0019598604,0.5602284900,0.1588840040,0.0001152404,0.1689650401,0.0004891700,0.6554657484,0.0125742000,0.0000814200,0.0243015320,0.0080173488,28.0508580597,0.0020028000,0.0141704400,0.7828095033,0.0102095600,0.0316958000,0.5157863898,0.0104185300,0.0531070048,0.0189897600,0.0006649000,0.0107731954,0.1560235300,0.3723309144,0.0006178824,0.0091827900,0.3703703699,0.1287838600,0.0115144900,0.1447253800,0.0027631943,0.5000000000,1.0000000000,0.0001278236,0.8061339596,0.1212000027,0.0510151936,0.0002495100,0.0540412300,0.1087574324,0.4652511900,0.2267320082,0.1250592469,0.0407083300,1.0000000000,0.0066249880,1.0000000000,0.6573087544,0.0046855800,0.0046601600,0.0004453695,1.2195121923,0.0331675900,0.0114902300,0.0850332200,0.0023915500,0.1365000010,1.2745353100,0.0002318205,0.5710000000,0.4950980336,0.0025819240,0.0303308802,0.0006379603,0.0006339200,0.0235294100,0.0001415300,0.0648929300,0.0007122400,0.0010882700,0.0000523560,0.2103361400,0.0075929276,0.0011370100,0.1087574324,0.0133994500,0.0208502700,1.5229377923,1592.2887898390,0.0806334700,0.0377358491,0.0002508199,0.0207706700,0.0109173600,0.0036463200,0.5586592130,0.1087574324,0.0116310100,0.3053783935,779.1188892195,0.1142857143,1.0000000000,1.5022910100,0.0015727300,0.5586592179,0.0055950774,0.0184211300,0.0026131473,0.4362000000,6.0000000000,0.0709220000,1.5229377923,1.5229377923,1.5229377923,0.3508771930,1.0420304828,1.5229377923,1.5229377923
2013-04-19,1.0000000000,1.3064917309,1.5249481486,0.0185217847,1.0298051689,0.9742246273,0.8084418427,1.0724641266,0.3293834527,0.0100712369,0.1618062956,0.8435671092,0.0348810618,0.0043822120,0.2722758970,0.1288041228,0.0817743994,0.1084071203,0.0243014928,0.1531368824,0.0001030074,0.2666438095,0.4972511992,0.5560152620,0.0119333787,0.0008930652,0.1447556294,0.0008598057,0.1718751097,3.5119364103,0.0316119245,0.1752494475,0.0101597233,0.2755239637,0.3184471742,0.2746655154,1401.1239125469,2.5972784760,0.0005436079,0.0021002703,0.0335421375,0.1937822747,0.0505649668,0.0000479121,0.1174395220,1.4119562921,2.6523926730,0.0019917338,0.0079390330,0.1228057877,0.0063051881,0.6252016937,0.0003905377,0.2995402647,0.0127841574,0.3856610203,0.6042002696,0.0019917338,0.5581958101,0.1590420737,0.0001155381,0.1719117742,0.0004867800,0.6682056999,0.0126074109,0.0000814186,0.0244001388,0.0085684500,23.2335897097,0.0020018868,0.0142455660,0.7830485948,0.0100898469,0.0319571424,0.5096193495,0.0104151600,0.0529123178,0.0187624654,0.0006649290,0.0109484007,0.1557765819,0.3783861593,0.0006140338,0.0093153800,0.3703703700,0.1281481029,0.0115959400,0.1447035157,0.0027631943,0.5000000000,1.0000000000,0.0001306058,0.8084418427,0.1212999970,0.0516661503,0.0002404563,0.0538834006,0.1084071203,0.4587551200,0.2266394548,0.1250525464,0.0404906507,1.0000000000,0.0066166448,1.0000000000,0.6679986149,0.0046855800,0.0046609370,0.0004604373,1.2195120003,0.0328434224,0.0117646401,0.0851549584,0.0023906258,0.1369999945,1.2743728900,0.0002314921,0.5739903914,0.4953890916,0.0024251803,0.0294181306,0.0006420491,0.0006493603,0.0235283117,0.0001417000,0.0651703350,0.0007094902,0.0010867504,0.0000534897,0.2101681600,0.0075929276,0.0011358118,0.1084071203,0.0135149595,0.0206212799,1.5249481486,1422.6929944855,0.0813404956,0.0377358491,0.0002509550,0.0212691749,0.0109491519,0.0037140948,0.5586646766,0.1084071203,0.0119234741,0.3054150064,669.3616524080,0.1142857143,1.0000000000,1.5045512800,0.0015749877,0.5586592179,0.0055720395,0.0185217847,0.0026556451,0.4394190945,6.0000000000,0.0751988389,1.5249481486,1.5249481486,1.5249481486,0.3508771930,1.0298051689,1.5249481486,1.5249481486
2013-05-07,1.0000000000,1.3084080408,1.5467247168,0.0184926750,1.0162201942,0.9947865608,0.8109201951,1.0634254520,0.3352892700,0.0100997528,0.1624438687,0.8442557301,0.0337666866,0.0044314751,0.2722570081,0.1288565717,0.0828107042,0.1109058127,0.0244626289,0.1533050997,0.0001028807,0.2666453376,0.4976564168,0.5569010454,0.0119260600,0.0009182207,0.1437493024,0.0008583724,0.1711983412,3.5164236186,0.0322010403,0.1755699874,0.0101626074,0.2803490339,0.3160296250,0.2746725515,1449.4234650807,2.5970664392,0.0005474962,0.0021270953,0.0336436792,0.1919389520,0.0506410716,0.0000478200,0.1175972370,1.4114333100,2.6523131623,0.0019946552,0.0079104600,0.1228502228,0.0063291200,0.6127451598,0.0003909708,0.3033356306,0.0128294523,0.3831434049,0.6065087000,0.0019946552,0.5673160774,0.1588691585,0.0001150200,0.1728574766,0.0004855450,0.6684450294,0.0126515176,0.0000814840,0.0243597545,0.0085947600,23.8086629827,0.0019996000,0.0142695300,0.7964954462,0.0101484206,0.0318675040,0.5041631267,0.0104102300,0.0528265700,0.0188572416,0.0006649000,0.0109644594,0.1557666400,0.3789411610,0.0006140700,0.0092856512,0.3703703700,0.1285099301,0.0115304200,0.1447254760,0.0027631943,0.5000000000,1.0000000000,0.0001304305,0.8109201951,0.1226999983,0.0521648400,0.0002410000,0.0537956848,0.1109058127,0.4557518935,0.2266805189,0.1251034677,0.0407246187,1.0000000000,0.0066229480,1.0000000000,0.6689784085,0.0048792700,0.0046499769,0.0004566300,1.2195121997,0.0333220180,0.0118258522,0.0849234076,0.0024083695,0.1371999979,1.2743728900,0.0002316395,0.5742000000,0.4950980400,0.0026320500,0.0303260000,0.0006387836,0.0006613931,0.0235294095,0.0001416700,0.0654021848,0.0006968404,0.0010883900,0.0000535189,0.2102300200,0.0075929276,0.0011192000,0.1109058127,0.0133334278,0.0207770600,1.5467247168,1480.2538714417,0.0818344300,0.0377358491,0.0002490715,0.0212104160,0.0109054580,0.0038242200,0.5586592200,0.1109058127,0.0119094400,0.3053783900,682.2025822002,0.1142857143,1.0000000000,1.5072726000,0.0015480500,0.5586592179,0.0055962794,0.0184926750,0.0026595403,0.4418000000,6.0000000000,0.0787401700,1.5467247168,1.5467247168,1.5467247168,0.3508771930,1.0162201942,1.5467247168,1.5467247168
2013-05-25,1.0000000000,1.2931926340,1.5126500000,0.0179742973,0.9650000000,0.9694149581,0.7910328516,1.0402309313,0.3296848185,0.0098771285,0.1630855792,0.8099400000,0.0334112927,0.0044687744,0.2722718315,0.1288070535,0.0797658076,0.1044018427,0.0240384624,0.1504482229,0.0001023227,0.2666204525,0.4874244492,0.5417998516,0.0118764850,0.0008863284,0.1432295380,0.0008710801,0.1714795253,3.4876040000,0.0319233831,0.1735568746,0.0101729397,0.2703725734,0.3081949025,0.2747026317,1386.6449999976,2.5974026617,0.0005324814,0.0020445716,0.0334896182,0.1899335281,0.0498846418,0.0000478240,0.1167815056,1.4154281794,2.6539278085,0.0019714595,0.0079145000,0.1229936682,0.0063339243,0.6045949054,0.0003863988,0.2985341994,0.0128733264,0.3734129985,0.6112355000,0.0019714595,0.5430985600,0.1591292399,0.0001154734,0.1717033002,0.0004812500,0.6607507450,0.0126662449,0.0000815661,0.0243902439,0.0081017600,22.4200000000,0.0020048116,0.0142960000,0.7824726152,0.0102165920,0.0322061200,0.5018820709,0.0104015700,0.0529661040,0.0187899282,0.0006666667,0.0108369543,0.1564945260,0.3745344746,0.0006153846,0.0091610000,0.3703703700,0.1282873624,0.0112300000,0.1436781601,0.0027631943,0.5000000000,1.0000000000,0.0001312680,0.7910328516,0.1185000017,0.0527148148,0.0002399232,0.0536203500,0.1044018427,0.4519947400,0.2283104963,0.1250553917,0.0406586716,1.0000000000,0.0066291015,1.0000000000,0.6611988946,0.0048673644,0.0046609181,0.0004551661,1.2195120000,0.0336700328,0.0116617400,0.0856604436,0.0023968800,0.1372999996,1.2745355000,0.0002338087,0.5649999976,0.5102821891,0.0024390244,0.0303030303,0.0006447453,0.0006795000,0.0235404899,0.0001450747,0.0660066023,0.0007057163,0.0011001100,0.0000529465,0.2102653800,0.0075929276,0.0010593220,0.1044018427,0.0136091447,0.0207087800,1.5126500000,1453.5850000010,0.0803535576,0.0377358491,0.0002511301,0.0210084040,0.0107874869,0.0038242200,0.5590339889,0.1044018427,0.0118371207,0.3076923077,726.6599999982,0.1142857143,1.0000000000,1.4944333100,0.0015625000,0.5586592179,0.0057240986,0.0179742973,0.0026286126,0.4248000085,6.0000000000,0.0862068937,1.5126500000,1.5126500000,1.5126500000,0.3508771930,0.9650000000,1.5126500000,1.5126500000
2013-06-12,1.0000000000,1.3357517998,1.5694609454,0.0172996950,0.9511362773,0.9803622129,0.7989156363,1.0898066498,0.3192850941,0.0104986060,0.1629685337,0.7976306569,0.0323161177,0.0045170160,0.2722681004,0.1287757210,0.0777966816,0.0997779874,0.0232394153,0.1541934959,0.0001014489,0.2666443617,0.4677662964,0.5325009945,0.0116959132,0.0008865161,0.1430103780,0.0008598476,0.1743964465,3.5236516578,0.0310752455,0.1791014005,0.0101499520,0.2759707615,0.3138192960,0.2746875450,1392.6104123500,2.6001014294,0.0005264738,0.0020003620,0.0334982018,0.1882690283,0.0521953913,0.0000476100,0.1192505226,1.4119308210,2.6518166556,0.0020363405,0.0078493000,0.1227747111,0.0062471941,0.6169032530,0.0003868535,0.2976728452,0.0128411142,0.3638344616,0.6035784980,0.0020363405,0.5405154614,0.1590406745,0.0001146583,0.1789167980,0.0004796892,0.6805167305,0.0127029956,0.0000814000,0.0242191017,0.0082911900,21.9383008810,0.0019869360,0.0100573386,0.7905137684,0.0100453358,0.0320553679,0.4981323971,0.0103918400,0.0487806397,0.0185597976,0.0006616930,0.0111936001,0.1555246437,0.3868604610,0.0006114370,0.0094461300,0.3703703700,0.1275402884,0.0108169800,0.1437233419,0.0027631943,0.5000000000,1.0000000000,0.0001300857,0.7989156363,0.1163000017,0.0492562296,0.0002275290,0.0534881300,0.0997779874,0.4467506200,0.2271446047,0.1250249719,0.0400643480,1.0000000000,0.0065981491,1.0000000000,0.6829590505,0.0049167997,0.0046533278,0.0004619021,1.2195122000,0.0341884843,0.0116917203,0.0841095778,0.0023968490,0.1372999996,1.2745353100,0.0002309639,0.5552998972,0.5020783558,0.0030703800,0.0275223356,0.0006493634,0.0007007489,0.0231267351,0.0001424800,0.0652288506,0.0007044775,0.0010940421,0.0000541419,0.2100622000,0.0075929276,0.0010610125,0.0997779874,0.0134231171,0.0205664400,1.5694609454,1483.2968912936,0.0808087457,0.0377358491,0.0002508074,0.0215622570,0.0105435468,0.0038242200,0.5643646589,0.0997779874,0.0121051095,0.3053528987,754.8674049841,0.1142857143,1.0000000000,1.5247389000,0.0015395724,0.5586592179,0.0056296527,0.0172996950,0.0027151207,0.4298000019,6.0000000000,0.0944328673,1.5694609454,1.5694609454,1.5694609454,0.3508771930,0.9511362773,1.5694609454,1.5694609454
